Date,Symbol,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-03-26,VCIT,92.97000122070312,93.16500091552734,92.91500091552734,93.0,2252106,0.0,0
2021-03-19,VCLT,99.48999786376953,99.48999786376953,98.75,99.33000183105469,1024100,0.0,0
2021-03-22,VCLT,100.0999984741211,100.48999786376953,99.72000122070312,100.02999877929688,678000,0.0,0
2021-03-23,VCLT,99.9000015258789,100.56999969482422,99.79000091552734,100.51000213623047,793500,0.0,0
2021-03-24,VCLT,100.22000122070312,101.05000305175781,100.22000122070312,101.02999877929688,819900,0.0,0
2021-03-25,VCLT,101.20999908447266,101.27999877929688,100.54000091552734,100.75,918700,0.0,0
2021-03-26,VCLT,100.44000244140625,100.96499633789062,100.13899993896484,100.73999786376953,2465254,0.0,0
2021-03-19,VCSH,82.33000183105469,82.37000274658203,82.27999877929688,82.33000183105469,3613600,0.0,0
2021-03-22,VCSH,82.3499984741211,82.4000015258789,82.33999633789062,82.3499984741211,3226400,0.0,0
2021-03-23,VCSH,82.44000244140625,82.51000213623047,82.37999725341797,82.41999816894531,1927900,0.0,0
2021-03-24,VCSH,82.4000015258789,82.44999694824219,82.37000274658203,82.43000030517578,2400900,0.0,0
2021-03-25,VCSH,82.41000366210938,82.4800033569336,82.4000015258789,82.4800033569336,2132200,0.0,0
2021-03-26,VCSH,82.4478988647461,82.47000122070312,82.41999816894531,82.45999908447266,2488250,0.0,0
2021-03-19,VGIT,67.23999786376953,67.38999938964844,67.2300033569336,67.33000183105469,878300,0.0,0
2021-03-22,VGIT,67.38999938964844,67.44000244140625,67.37000274658203,67.43000030517578,384800,0.0,0
2021-03-23,VGIT,67.5,67.5999984741211,67.47000122070312,67.58999633789062,626800,0.0,0
2021-03-24,VGIT,67.52999877929688,67.6500015258789,67.51000213623047,67.62999725341797,543800,0.0,0
2021-03-25,VGIT,67.66000366210938,67.69999694824219,67.55000305175781,67.62000274658203,654300,0.0,0
2021-03-26,VGIT,67.51000213623047,67.59369659423828,67.4800033569336,67.48999786376953,1001825,0.0,0
2021-03-19,VGLT,81.81999969482422,82.27999877929688,81.69000244140625,82.27999877929688,618900,0.0,0
2021-03-22,VGLT,82.79000091552734,83.19999694824219,82.61000061035156,83.11000061035156,390000,0.0,0
2021-03-23,VGLT,83.30999755859375,83.87999725341797,83.08000183105469,83.8499984741211,410500,0.0,0
2021-03-24,VGLT,83.58999633789062,84.30000305175781,83.54000091552734,84.27999877929688,570400,0.0,0
2021-03-25,VGLT,84.36000061035156,84.51000213623047,83.62999725341797,83.70999908447266,877100,0.0,0
2021-03-26,VGLT,83.23999786376953,83.69000244140625,83.12000274658203,83.37999725341797,789561,0.0,0
2021-03-19,VGSH,61.52000045776367,61.54999923706055,61.5099983215332,61.529998779296875,821300,0.0,0
2021-03-22,VGSH,61.529998779296875,61.540000915527344,61.529998779296875,61.529998779296875,750200,0.0,0
2021-03-23,VGSH,61.54999923706055,61.560001373291016,61.540000915527344,61.54999923706055,2251800,0.0,0
2021-03-24,VGSH,61.54999923706055,61.54999923706055,61.540000915527344,61.54999923706055,984900,0.0,0
2021-03-25,VGSH,61.540000915527344,61.560001373291016,61.540000915527344,61.54999923706055,828700,0.0,0
2021-03-26,VGSH,61.54999923706055,61.560001373291016,61.54999923706055,61.560001373291016,774638,0.0,0
2021-03-19,VMBS,53.279998779296875,53.33000183105469,53.25,53.310001373291016,840200,0.0,0
2021-03-22,VMBS,53.31999969482422,53.36000061035156,53.29999923706055,53.36000061035156,740700,0.0,0
2021-03-23,VMBS,53.400001525878906,53.43000030517578,53.36000061035156,53.400001525878906,879400,0.0,0
2021-03-24,VMBS,53.40999984741211,53.459999084472656,53.380001068115234,53.439998626708984,2146600,0.0,0
2021-03-25,VMBS,53.41999816894531,53.470001220703125,53.40999984741211,53.439998626708984,2145300,0.0,0
2021-03-26,VMBS,53.400001525878906,53.43069839477539,53.36000061035156,53.369998931884766,727767,0.0,0
